PLAYER_NAME,TEAM_ABBREVIATION,games_played,mpg,ppg,true_shooting_pct,effective_fg_pct,ast_to_tov_ratio,three_point_rate,avg_plus_minus
Jalen Wilson,BKN,79,25.7,9.5,54.4,49.4,1.8,59.0,-3.3
Javonte Green,CLE,68,18.5,5.1,54.4,51.2,1.6,50.0,-3.1
Kevin Huerter,CHI,69,24.3,9.9,54.3,52.8,2.3,64.8,1.5
Herbert Jones,NOP,20,32.4,10.3,54.3,50.6,1.83,41.9,-1.0
Andrew Nembhard,IND,65,28.9,10.0,54.2,50.6,2.94,32.5,3.1
Gradey Dick,TOR,54,29.4,14.4,54.2,49.6,1.2,50.0,-3.9
Paul George,PHI,41,32.5,16.2,54.2,51.4,1.65,46.8,-2.0
Jordan Goodwin,LAL,29,18.7,5.6,54.1,53.0,1.56,46.0,-0.4
Miles Bridges,CHA,64,31.7,20.3,54.1,49.4,1.86,41.2,-4.0
Steven Adams,HOU,58,13.7,3.9,54.1,55.2,1.22,0.0,3.0
Jalen Pickett,DEN,49,13.6,4.1,54.1,54.1,4.4,56.8,1.1
Colby Jones,WAS,39,13.2,4.0,54.1,51.5,1.83,39.4,-2.9
Jaime Jaquez Jr.,MIA,66,20.7,8.6,54.0,50.0,1.67,25.7,-2.3
Scoot Henderson,POR,66,26.7,12.7,54.0,49.0,1.89,43.3,-0.6
Jordan Clarkson,UTA,37,26.0,16.2,53.9,49.2,1.61,47.4,-5.5
